A01_000000.jpg,A01.png,backg1.png,100,0,448,28,1024,1024
A01_000001.jpg,A01.png,backg2.png,100,0,448,28,1024,1024
A01_000002.jpg,A01.png,backg3.png,100,0,448,28,1024,1024
A01_000003.jpg,A01.png,noise_rgb.png,100,0,448,28,1024,1024
A01_000004.jpg,A01.png,white.png,100,0,448,28,1024,1024
A01_000005.jpg,A01.png,backg1.png,apple,0.25,0,832,412,256,256
A01_000006.jpg,A01.png,backg1.png,apple,0.25,1,0,0,256,256
A01_000007.jpg,A01.png,backg1.png,apple,0.25,2,1664,824,256,256
A01_000008.jpg,A01.png,backg1.png,apple,0.25,3,0,412,256,256
A01_000009.jpg,A01.png,backg1.png,apple,0.25,4,832,0,256,256
A01_000010.jpg,A01.png,backg1.png,apple,0.25,5,1275,261,256,256
A01_000011.jpg,A01.png,backg2.png,apple,0.25,0,832,412,256,256
A01_000012.jpg,A01.png,backg2.png,apple,0.25,1,0,0,256,256
A01_000013.jpg,A01.png,backg2.png,apple,0.25,2,1664,824,256,256
A01_000014.jpg,A01.png,backg2.png,apple,0.25,3,0,412,256,256
A01_000015.jpg,A01.png,backg2.png,apple,0.25,4,832,0,256,256
A01_000016.jpg,A01.png,backg2.png,apple,0.25,5,1275,261,256,256
A01_000017.jpg,A01.png,backg3.png,apple,0.25,0,832,412,256,256
A01_000018.jpg,A01.png,backg3.png,apple,0.25,1,0,0,256,256
A01_000019.jpg,A01.png,backg3.png,apple,0.25,2,1664,824,256,256
A01_000020.jpg,A01.png,backg3.png,apple,0.25,3,0,412,256,256
A01_000021.jpg,A01.png,backg3.png,apple,0.25,4,832,0,256,256
A01_000022.jpg,A01.png,backg3.png,apple,0.25,5,1275,261,256,256
A01_000023.jpg,A01.png,noise_rgb.png,apple,0.25,0,832,412,256,256
A01_000024.jpg,A01.png,noise_rgb.png,apple,0.25,1,0,0,256,256
A01_000025.jpg,A01.png,noise_rgb.png,apple,0.25,2,1664,824,256,256
A01_000026.jpg,A01.png,noise_rgb.png,apple,0.25,3,0,412,256,256
A01_000027.jpg,A01.png,noise_rgb.png,apple,0.25,4,832,0,256,256
A01_000028.jpg,A01.png,noise_rgb.png,apple,0.25,5,1275,261,256,256
A01_000029.jpg,A01.png,white.png,apple,0.25,0,832,412,256,256
A01_000030.jpg,A01.png,white.png,apple,0.25,1,0,0,256,256
A01_000031.jpg,A01.png,white.png,apple,0.25,2,1664,824,256,256
A01_000032.jpg,A01.png,white.png,apple,0.25,3,0,412,256,256
A01_000033.jpg,A01.png,white.png,apple,0.25,4,832,0,256,256
A01_000034.jpg,A01.png,white.png,apple,0.25,5,1275,261,256,256
A01_000035.jpg,A01.png,backg1.png,apple,0.125,0,896,476,128,128
A01_000036.jpg,A01.png,backg1.png,apple,0.125,1,0,0,128,128
A01_000037.jpg,A01.png,backg1.png,apple,0.125,2,1792,952,128,128
A01_000038.jpg,A01.png,backg1.png,apple,0.125,3,0,476,128,128
A01_000039.jpg,A01.png,backg1.png,apple,0.125,4,896,0,128,128
A01_000040.jpg,A01.png,backg1.png,apple,0.125,5,1123,343,128,128
A01_000041.jpg,A01.png,backg2.png,apple,0.125,0,896,476,128,128
A01_000042.jpg,A01.png,backg2.png,apple,0.125,1,0,0,128,128
A01_000043.jpg,A01.png,backg2.png,apple,0.125,2,1792,952,128,128
A01_000044.jpg,A01.png,backg2.png,apple,0.125,3,0,476,128,128
A01_000045.jpg,A01.png,backg2.png,apple,0.125,4,896,0,128,128
A01_000046.jpg,A01.png,backg2.png,apple,0.125,5,1123,343,128,128
A01_000047.jpg,A01.png,backg3.png,apple,0.125,0,896,476,128,128
A01_000048.jpg,A01.png,backg3.png,apple,0.125,1,0,0,128,128
A01_000049.jpg,A01.png,backg3.png,apple,0.125,2,1792,952,128,128
A01_000050.jpg,A01.png,backg3.png,apple,0.125,3,0,476,128,128
A01_000051.jpg,A01.png,backg3.png,apple,0.125,4,896,0,128,128
A01_000052.jpg,A01.png,backg3.png,apple,0.125,5,1123,343,128,128
A01_000053.jpg,A01.png,noise_rgb.png,apple,0.125,0,896,476,128,128
A01_000054.jpg,A01.png,noise_rgb.png,apple,0.125,1,0,0,128,128
A01_000055.jpg,A01.png,noise_rgb.png,apple,0.125,2,1792,952,128,128
A01_000056.jpg,A01.png,noise_rgb.png,apple,0.125,3,0,476,128,128
A01_000057.jpg,A01.png,noise_rgb.png,apple,0.125,4,896,0,128,128
A01_000058.jpg,A01.png,noise_rgb.png,apple,0.125,5,1123,343,128,128
A01_000059.jpg,A01.png,white.png,apple,0.125,0,896,476,128,128
A01_000060.jpg,A01.png,white.png,apple,0.125,1,0,0,128,128
A01_000061.jpg,A01.png,white.png,apple,0.125,2,1792,952,128,128
A01_000062.jpg,A01.png,white.png,apple,0.125,3,0,476,128,128
A01_000063.jpg,A01.png,white.png,apple,0.125,4,896,0,128,128
A01_000064.jpg,A01.png,white.png,apple,0.125,5,1123,343,128,128
A01_000065.jpg,A01.png,backg1.png,apple,0.0725,0,923,503,74,74
A01_000066.jpg,A01.png,backg1.png,apple,0.0725,1,0,0,74,74
A01_000067.jpg,A01.png,backg1.png,apple,0.0725,2,1846,1006,74,74
A01_000068.jpg,A01.png,backg1.png,apple,0.0725,3,0,503,74,74
A01_000069.jpg,A01.png,backg1.png,apple,0.0725,4,923,0,74,74
A01_000070.jpg,A01.png,backg1.png,apple,0.0725,5,849,295,74,74
A01_000071.jpg,A01.png,backg2.png,apple,0.0725,0,923,503,74,74
A01_000072.jpg,A01.png,backg2.png,apple,0.0725,1,0,0,74,74
A01_000073.jpg,A01.png,backg2.png,apple,0.0725,2,1846,1006,74,74
A01_000074.jpg,A01.png,backg2.png,apple,0.0725,3,0,503,74,74
A01_000075.jpg,A01.png,backg2.png,apple,0.0725,4,923,0,74,74
A01_000076.jpg,A01.png,backg2.png,apple,0.0725,5,849,295,74,74
A01_000077.jpg,A01.png,backg3.png,apple,0.0725,0,923,503,74,74
A01_000078.jpg,A01.png,backg3.png,apple,0.0725,1,0,0,74,74
A01_000079.jpg,A01.png,backg3.png,apple,0.0725,2,1846,1006,74,74
A01_000080.jpg,A01.png,backg3.png,apple,0.0725,3,0,503,74,74
A01_000081.jpg,A01.png,backg3.png,apple,0.0725,4,923,0,74,74
A01_000082.jpg,A01.png,backg3.png,apple,0.0725,5,849,295,74,74
A01_000083.jpg,A01.png,noise_rgb.png,apple,0.0725,0,923,503,74,74
A01_000084.jpg,A01.png,noise_rgb.png,apple,0.0725,1,0,0,74,74
A01_000085.jpg,A01.png,noise_rgb.png,apple,0.0725,2,1846,1006,74,74
A01_000086.jpg,A01.png,noise_rgb.png,apple,0.0725,3,0,503,74,74
A01_000087.jpg,A01.png,noise_rgb.png,apple,0.0725,4,923,0,74,74
A01_000088.jpg,A01.png,noise_rgb.png,apple,0.0725,5,849,295,74,74
A01_000089.jpg,A01.png,white.png,apple,0.0725,0,923,503,74,74
A01_000090.jpg,A01.png,white.png,apple,0.0725,1,0,0,74,74
A01_000091.jpg,A01.png,white.png,apple,0.0725,2,1846,1006,74,74
A01_000092.jpg,A01.png,white.png,apple,0.0725,3,0,503,74,74
A01_000093.jpg,A01.png,white.png,apple,0.0725,4,923,0,74,74
A01_000094.jpg,A01.png,white.png,apple,0.0725,5,849,295,74,74
A02_000095.jpg,A02.png,backg1.png,100,0,448,28,1024,1024
A02_000096.jpg,A02.png,backg2.png,100,0,448,28,1024,1024
A02_000097.jpg,A02.png,backg3.png,100,0,448,28,1024,1024
A02_000098.jpg,A02.png,noise_rgb.png,100,0,448,28,1024,1024
A02_000099.jpg,A02.png,white.png,100,0,448,28,1024,1024
A02_000100.jpg,A02.png,backg1.png,apple,0.25,0,832,412,256,256
A02_000101.jpg,A02.png,backg1.png,apple,0.25,1,0,0,256,256
A02_000102.jpg,A02.png,backg1.png,apple,0.25,2,1664,824,256,256
A02_000103.jpg,A02.png,backg1.png,apple,0.25,3,0,412,256,256
A02_000104.jpg,A02.png,backg1.png,apple,0.25,4,832,0,256,256
A02_000105.jpg,A02.png,backg1.png,apple,0.25,5,298,470,256,256
A02_000106.jpg,A02.png,backg2.png,apple,0.25,0,832,412,256,256
A02_000107.jpg,A02.png,backg2.png,apple,0.25,1,0,0,256,256
A02_000108.jpg,A02.png,backg2.png,apple,0.25,2,1664,824,256,256
A02_000109.jpg,A02.png,backg2.png,apple,0.25,3,0,412,256,256
A02_000110.jpg,A02.png,backg2.png,apple,0.25,4,832,0,256,256
A02_000111.jpg,A02.png,backg2.png,apple,0.25,5,298,470,256,256
A02_000112.jpg,A02.png,backg3.png,apple,0.25,0,832,412,256,256
A02_000113.jpg,A02.png,backg3.png,apple,0.25,1,0,0,256,256
A02_000114.jpg,A02.png,backg3.png,apple,0.25,2,1664,824,256,256
A02_000115.jpg,A02.png,backg3.png,apple,0.25,3,0,412,256,256
A02_000116.jpg,A02.png,backg3.png,apple,0.25,4,832,0,256,256
A02_000117.jpg,A02.png,backg3.png,apple,0.25,5,298,470,256,256
A02_000118.jpg,A02.png,noise_rgb.png,apple,0.25,0,832,412,256,256
A02_000119.jpg,A02.png,noise_rgb.png,apple,0.25,1,0,0,256,256
A02_000120.jpg,A02.png,noise_rgb.png,apple,0.25,2,1664,824,256,256
A02_000121.jpg,A02.png,noise_rgb.png,apple,0.25,3,0,412,256,256
A02_000122.jpg,A02.png,noise_rgb.png,apple,0.25,4,832,0,256,256
A02_000123.jpg,A02.png,noise_rgb.png,apple,0.25,5,298,470,256,256
A02_000124.jpg,A02.png,white.png,apple,0.25,0,832,412,256,256
A02_000125.jpg,A02.png,white.png,apple,0.25,1,0,0,256,256
A02_000126.jpg,A02.png,white.png,apple,0.25,2,1664,824,256,256
